StudyID	1D/2D	Technique
MTBLS247	1D	1D 13C with power-gated decoupling (zgpg)
MTBLS400	1D	1D 1H spectrum (zg)
MTBLS643	1D	1D 1H spectrum (zg)
MTBLS761	1D	1D 1H T2-filter sequence eliminating J-modulation with water presaturation
MTBLS116	1D	1D 1H with presaturation (presat)
MTBLS342	1D	1D 1H with presaturation (presat)
MTBLS654	1D	1D 1H with presaturation (presat)
MTBLS240	1D	1D 1H with presaturation (presat)
MTBLS524	1D	1D 1H with presaturation (presat)
MTBLS619	1D	1D 1H with presaturation (presat)
MTBLS123	1D	1D 1H with presaturation (presat)
MTBLS346	1D	1D 1H with presaturation (wet)
MTBLS386	1D	1D 1H with presaturation (zgpr)
MTBLS560	1D	1D 1H with presaturation (zgpr)
MTBLS453	1D	1D 1H with presaturation (zgpr)
MTBLS331	1D	1D 1H with presaturation (zgpr)
MTBLS349	1D	1D 1H with presaturation (zgpr)
MTBLS444	1D	1D 1H with presaturation (zgpr)
MTBLS658	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS326	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS48	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS147	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS174	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS114	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS539	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS172	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS422	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS560	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS400	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS455	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS424	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS374	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS541	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS540	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS675	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS340	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS543	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS242	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS619	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS463	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS237	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS103	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS189	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS564	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS576	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS667	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS77	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS395	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS123	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS275	1D	1D CPMG with presaturation (cpmgpr1d)
MTBLS46	1D	1D CPMG with presaturation (cpmgpr1d)/1D NOESY with presaturation (noesypr1d)
MTBLS869	1D	1D CPMG with T2 filter and presaturation (ereticcpmgpr1d)
MTBLS400	1D	"1D homonuclear MQS with selective pulses, without gradients, selects both ZQC and DQC (SSelMQC_refoc_ph)"
MTBLS241	1D	"1D NOESY 12C 13C custom filtered with presaturation, phase-sensitive gradients, and 13C decoupling (c12c13filternoesygpc13cpd)"
MTBLS241	1D	"1D NOESY 12C custom filtered with presaturation, phase-sensitive gradients, and 13C decoupling (c12filternoesygpc13cpd)"
MTBLS399	1D	1D NOESY with presaturation (metnoesy)
MTBLS156	1D	1D NOESY with presaturation (noesypr1d)
MTBLS48	1D	1D NOESY with presaturation (noesypr1d)
MTBLS382	1D	1D NOESY with presaturation (noesypr1d)
MTBLS200	1D	1D NOESY with presaturation (noesypr1d)
MTBLS115	1D	1D NOESY with presaturation (noesypr1d)
MTBLS230	1D	1D NOESY with presaturation (noesypr1d)
MTBLS337	1D	1D NOESY with presaturation (noesypr1d)
MTBLS400	1D	1D NOESY with presaturation (noesypr1d)
MTBLS24	1D	1D NOESY with presaturation (noesypr1d)
MTBLS102	1D	1D NOESY with presaturation (noesypr1d)
MTBLS1	1D	1D NOESY with presaturation (noesypr1d)
MTBLS374	1D	1D NOESY with presaturation (noesypr1d)
MTBLS340	1D	1D NOESY with presaturation (noesypr1d)
MTBLS622	1D	1D NOESY with presaturation (noesypr1d)
MTBLS189	1D	1D NOESY with presaturation (noesypr1d)
MTBLS247	1D	1D NOESY with presaturation (noesypr1d)
MTBLS161	1D	1D NOESY with presaturation (noesypr1d)
MTBLS667	1D	1D NOESY with presaturation (noesypr1d)
MTBLS516	1D	1D NOESY with presaturation (noesypr1d)
MTBLS177	1D	1D NOESY with presaturation (noesypr1d)
MTBLS425	1D	1D NOESY with presaturation (noesypr1d)
MTBLS123	1D	1D NOESY with presaturation (noesypr1d)
MTBLS602	1D	1D NOESY with presaturation (noesypr1d)
MTBLS261	1D	1D NOESY with presaturation (tnnoesy)
MTBLS387	1D	1D NOESY with presaturation (tnnoesy)
MTBLS256	1D	1D NOESY with presaturation (tnnoesy)
MTBLS100	1D	1D NOESY with presaturation (tnnoesy)
MTBLS419	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS669	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS640	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS166	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS723	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS720	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS430	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS540	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS149	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS241	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS431	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS104	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS237	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS361	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS367	1D	1D NOESY with presaturation and spoil gradients (noesygppr1d)
MTBLS626	1D	"1D NOESY with presaturation during relaxation delay and mixing time and spoil gradient (noesygppr1d_kr);2D HSQC using echo-antiecho-TPPI gradient selection, constant time, trim pulses, shaped pulses for inversion, no refocussing, off-resonance pulse (hsqcctetgpsp.2)"
MTBLS249	1D	1D with water suppression using excitation sculpting with gradients (zgesgp)
MTBLS25	2D	2D 1H-13C HSQC (hsqcetgppr)
MTBLS356	2D	2D homonuclear correlation via dipolar coupling (noesyesgpph)
MTBLS241	2D	2D HSQC using echo-antiecho and adiabatic pulses for inversion and refocusing with additional water suppression (hsqcetgpsp.2.cl)
MTBLS367	2D	2D HSQC using echo-antiecho and adiabatic pulses for inversion and refocusing with additional water suppression (hsqcetgpsp.2.cl)
MTBLS387	2D	2D HSQC using PEP and adiabatic pulses for inversion and refocusing with gradients in back-inept and suppression of COSY type artefacts (hsqcetgpsisp2.3)
MTBLS247	2D	2D HSQC with presaturation (hsqcphpr)
MTBLS643	2D	2D Interleaved Ultrafast COSY (iufcosy)
MTBLS336	2D	2D JRES with excitation sculpting & additional water suppression (jresesgp2)
MTBLS249	2D	2D JRES with homonuclear J-resolved 2D correlation (jresesgp)
MTBLS540	2D	"2D JRES with homonuclear J-resolved 2D correlation, presaturation during relaxation delay with gradients (jresgpprqf)"
MTBLS247	2D	2D TOCSY with presaturation using MLEV (mlevphpr)
MTBLS643	2D	2D Zero-quantum-filtered total correlation spectra (zTOCSY-em-3)
MTBLS151	2D	Conventional 1H spectrum (zg30)
MTBLS189	2D	Conventional 1H spectrum (zg30)
MTBLS133	2D	M3S COSY
MTBLS134	2D	M3S COSY
MTBLS131	2D	M3S COSY
MTBLS132	2D	M3S COSY
MTBLS694	1D	noesygppr1d